Year,Tariff regime,PRODUCT,REPORTING_TYPE,TIME_DETAIL,SERIES,UNIT_MEASURE,Value
2015,PRF,AGR,N,2015,TM_TAX_WMFN,NUMBER,3.82
2015,PRF,ALP,N,2015,TM_TAX_WMFN,NUMBER,8.7
2015,PRF,CLO,N,2015,TM_TAX_WMFN,NUMBER,19.55
2015,PRF,IND,N,2015,TM_TAX_WMFN,NUMBER,8.58
2015,PRF,OIL,N,2015,TM_TAX_WMFN,NUMBER,5.0
2015,PRF,TEX,N,2015,TM_TAX_WMFN,NUMBER,3.81
2015,MFN,AGR,N,2015,TM_TAX_WMFN,NUMBER,10.14
2015,MFN,ALP,N,2015,TM_TAX_WMFN,NUMBER,3.76
2015,MFN,CLO,N,2015,TM_TAX_WMFN,NUMBER,16.31
2015,MFN,IND,N,2015,TM_TAX_WMFN,NUMBER,3.84
2015,MFN,OIL,N,2015,TM_TAX_WMFN,NUMBER,0.0
2015,MFN,TEX,N,2015,TM_TAX_WMFN,NUMBER,2.31
2016,PRF,AGR,N,2016,TM_TAX_WMFN,NUMBER,3.06
2016,PRF,ALP,N,2016,TM_TAX_WMFN,NUMBER,8.65
2016,PRF,CLO,N,2016,TM_TAX_WMFN,NUMBER,19.53
2016,PRF,IND,N,2016,TM_TAX_WMFN,NUMBER,8.78
2016,PRF,OIL,N,2016,TM_TAX_WMFN,NUMBER,5.0
2016,PRF,TEX,N,2016,TM_TAX_WMFN,NUMBER,3.76
2016,MFN,AGR,N,2016,TM_TAX_WMFN,NUMBER,9.49
2016,MFN,ALP,N,2016,TM_TAX_WMFN,NUMBER,3.93
2016,MFN,CLO,N,2016,TM_TAX_WMFN,NUMBER,16.0
2016,MFN,IND,N,2016,TM_TAX_WMFN,NUMBER,4.35
2016,MFN,OIL,N,2016,TM_TAX_WMFN,NUMBER,0.0
2016,MFN,TEX,N,2016,TM_TAX_WMFN,NUMBER,2.27
2017,PRF,AGR,N,2017,TM_TAX_WMFN,NUMBER,4.18
2017,PRF,ALP,N,2017,TM_TAX_WMFN,NUMBER,9.58
2017,PRF,CLO,N,2017,TM_TAX_WMFN,NUMBER,19.71
2017,PRF,IND,N,2017,TM_TAX_WMFN,NUMBER,9.68
2017,PRF,OIL,N,2017,TM_TAX_WMFN,NUMBER,5.0
2017,PRF,TEX,N,2017,TM_TAX_WMFN,NUMBER,4.1
2017,MFN,AGR,N,2017,TM_TAX_WMFN,NUMBER,10.39
2017,MFN,ALP,N,2017,TM_TAX_WMFN,NUMBER,3.68
2017,MFN,CLO,N,2017,TM_TAX_WMFN,NUMBER,14.54
2017,MFN,IND,N,2017,TM_TAX_WMFN,NUMBER,3.58
2017,MFN,OIL,N,2017,TM_TAX_WMFN,NUMBER,0.0
2017,MFN,TEX,N,2017,TM_TAX_WMFN,NUMBER,2.2
